epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1966,2.47969,7.04644,1.5805,0.47638,0.34694,0.37091,0.13291,2.28718,8.90422,1.1205,0.000661417,0.000661417,0.000661417
2,84.0588,2.25176,4.08381,1.46633,0.50748,0.14286,0.12855,0.04914,2.21246,16.6761,1.11621,0.00132677,0.00132677,0.00132677
3,113.736,2.19058,2.93322,1.43361,0.66495,0.16327,0.14955,0.06374,2.88486,9.81166,1.44239,0.00198689,0.00198689,0.00198689
4,144.973,2.26066,2.71045,1.4303,0.26986,0.12245,0.07469,0.03188,2.04466,2.48451,1.39476,0.0019823,0.0019823,0.0019823
5,174.751,2.19934,2.49073,1.40427,0.71439,0.51048,0.59709,0.22644,2.22264,1.88445,1.12927,0.00196861,0.00196861,0.00196861
6,206.319,2.14181,2.34572,1.34305,0.55262,0.59184,0.58475,0.21118,2.32529,2.13499,1.13788,0.00195111,0.00195111,0.00195111
7,236.352,2.10773,2.30873,1.33753,0.58843,0.61224,0.60606,0.26606,2.09066,1.41974,1.04476,0.00192985,0.00192985,0.00192985
8,265.49,2.08311,2.25303,1.34023,0.46641,0.63265,0.51377,0.22237,2.1131,3.2785,1.07287,0.00190492,0.00190492,0.00190492
9,295.809,2.06259,2.13437,1.32263,0.50328,0.64109,0.57751,0.23681,2.20615,1.60809,1.10586,0.00187643,0.00187643,0.00187643
10,324.887,2.06162,2.16171,1.32787,0.65037,0.68343,0.68586,0.28042,2.15075,1.45086,1.10223,0.00184448,0.00184448,0.00184448
11,354.545,2.03727,2.11083,1.3104,0.538,0.59416,0.59585,0.2381,2.09235,1.50354,1.08856,0.00180921,0.00180921,0.00180921
12,384.438,2.01764,2.1239,1.29695,0.50386,0.60114,0.58233,0.23494,2.03981,1.5339,1.03973,0.00177074,0.00177074,0.00177074
13,414.444,2.03896,2.12532,1.3222,0.59209,0.6814,0.67027,0.23459,2.34923,2.10048,1.13468,0.00172924,0.00172924,0.00172924
14,444.629,2.02431,2.06293,1.30853,0.69399,0.60181,0.64512,0.26768,2.09563,1.4248,1.07509,0.00168486,0.00168486,0.00168486
15,475.325,2.0212,2.0273,1.30166,0.68534,0.7551,0.69745,0.24898,2.17778,1.3464,1.09136,0.00163779,0.00163779,0.00163779
16,504.974,2.01372,2.04855,1.3093,0.69843,0.71429,0.72277,0.25103,2.20836,1.42368,1.09466,0.0015882,0.0015882,0.0015882
17,535.21,1.95056,1.94026,1.27147,0.70386,0.71429,0.6534,0.26345,2.09405,1.53161,1.0616,0.00153629,0.00153629,0.00153629
18,564.916,2.00422,2.03382,1.29742,0.65565,0.77719,0.67956,0.26751,2.08976,1.45108,1.06596,0.00148227,0.00148227,0.00148227
19,594.584,1.97101,1.93896,1.27735,0.71477,0.73469,0.73327,0.29733,2.17532,1.46818,1.08405,0.00142635,0.00142635,0.00142635
20,623.587,1.9893,1.8952,1.28126,0.73709,0.73469,0.65208,0.27598,2.12036,1.46711,1.06073,0.00136876,0.00136876,0.00136876
21,654.059,1.92736,1.89248,1.26438,0.74181,0.7551,0.73214,0.28593,2.05287,1.29578,1.06083,0.00130971,0.00130971,0.00130971
22,684.089,1.92072,1.87621,1.25578,0.72482,0.73469,0.74086,0.31303,1.99877,1.37449,1.04148,0.00124944,0.00124944,0.00124944
23,714.119,1.92964,1.84018,1.264,0.70991,0.74922,0.72519,0.29412,2.01388,1.4776,1.03602,0.00118819,0.00118819,0.00118819
24,743.772,1.92099,1.84552,1.24395,0.75789,0.70284,0.6992,0.27343,2.10982,1.38618,1.05913,0.00112621,0.00112621,0.00112621
25,774.153,1.91195,1.82801,1.24589,0.75618,0.77551,0.74256,0.31242,2.0284,1.35236,1.04373,0.00106373,0.00106373,0.00106373
26,804.168,1.91655,1.8384,1.26424,0.75595,0.82185,0.78214,0.3283,2.01978,1.30022,1.04619,0.001001,0.001001,0.001001
27,833.999,1.88346,1.76931,1.23094,0.81111,0.78878,0.7892,0.30407,2.10372,1.43626,1.05792,0.000938272,0.000938272,0.000938272
28,863.642,1.86712,1.74653,1.22699,0.72433,0.77551,0.72587,0.31923,1.95584,1.268,1.02167,0.000875792,0.000875792,0.000875792
29,894.284,1.88984,1.81703,1.24094,0.70038,0.81105,0.71259,0.29286,2.00511,1.35793,1.03905,0.000813806,0.000813806,0.000813806
